state,state_abbr,house12,hscontrol,sen12,sencontrol,legGOP,legDem,support_expansion_new,support_expansion,percent_uninsured,ideology,income,percent_black,percent_hispanic,percent_metro,dsh,gop_control,gop_governor,alec_alt,alec,term_limits,obama_votes,romney_votes,total_votes,obama_share
Alaska,AK,62.5,1,65,1,1,0,Opposes,0,20.1,0.05,46.77778,0.0031804,0.0053659,0.0654047,0.0000287,1,1,0,0,0,122640,164676,287316,0.426847095
Alabama,AL,60.9,1,65.7,1,1,0,Opposes,0,14.3,0.24,35.62466,0.0259499,0.003849,0.0708298,0.0000659,1,1,0,1,0,795696,1255925,2051621,0.387837715
Arkansas,AR,51,1,60,1,1,0,Supports,1,17.1,0.23,34.72297,0.0152552,0.0063086,0.0595893,0.0000151,0,0,0,0,1,394409,647744,1042153,0.378455947
Arizona,AZ,60,1,56.66,1,1,0,Supports,1,17.2,0.1,35.97918,0.0039524,0.0289192,0.0902535,0.000016,1,1,1,1,1,1025232,1233654,2258886,0.453866198
California,CA,32.5,0,30,0,0,1,Supports,1,18.1,-0.18,44.98018,0.0060436,0.036838,0.0957081,0.0000298,0,0,0,0,1,7854285,4839958,12694243,0.618728112
Colorado,CO,44.6,0,45.7,0,0,1,Supports,1,15.1,-0.23,45.13516,0.0038888,0.0200226,0.083698,0.0000184,0,0,0,1,1,1323101,1185243,2508344,0.527479883
Connecticut,CT,34.4,0,38.9,0,0,1,Supports,1,8.8,0.01,58.90791,0.0100908,0.0133438,0.090959,0.0000575,0,0,0,0,0,905083,634892,1539975,0.587725775
Delaware,DE,34.1,0,38.1,0,0,1,Supports,1,9.4,-0.11,41.93981,0.0209155,0.007984,0.0764142,0.0000102,0,0,0,0,0,242584,165484,408068,0.594469549
Florida,FL,61.7,1,65,1,1,0,Supports,1,20.9,-0.02,40.34352,0.0155292,0.0218651,0.0915745,0.0000107,1,1,0,0,1,4237756,4163447,8401203,0.504422521
Georgia,GA,66.1,1,67.9,1,1,0,Opposes,1,19.6,0.14,36.86917,0.0297425,0.0086058,0.0791099,0.000028,1,1,1,1,0,1773827,2078688,3852515,0.460433509
Hawaii,HA,13.7,0,4,0,0,1,Supports,0,7.1,-0.19,44.02372,0.0015387,0.0086792,0.0684621,7.18E-06,0,0,0,0,0,306658,121015,427673,0.717038485
Iowa,IA,53,1,23,0,0,0,Supports,0,8.9,0.09,42.12603,0.0028999,0.0049296,0.0560055,0.0000132,0,1,0,0,0,822544,730617,1553161,0.529593519
Idaho,ID,81.4,1,80,1,1,0,Opposes,0,16.5,0.33,33.74868,0.0006148,0.0110232,0.0644305,0.0000107,1,1,1,1,0,212787,420911,633698,0.335786132
